rgvX,rgvY,Time
18.230121612548828,23.931657791137695,Fine,142.525
18.202171325683594,23.95368194580078,Fine,142.628
18.151020050048828,23.841787338256836,Fine,142.735
18.15999984741211,23.874624252319336,Fine,142.861
18.204843521118164,23.880008697509766,Fine,142.969
18.202505111694336,23.906841278076172,Fine,143.073
18.1776065826416,23.895305633544922,Fine,143.177
18.19163703918457,23.883893966674805,Fine,143.288
18.16733169555664,23.868982315063477,Fine,143.39
18.14706802368164,23.879638671875,Fine,143.495
18.155704498291016,23.860342025756836,Fine,143.597
18.12417984008789,23.91883087158203,Fine,143.714
18.185850143432617,23.890621185302734,Fine,143.818
18.214521408081055,23.851037979125977,Fine,143.932
18.127580642700195,23.88498878479004,Fine,144.012
18.158981323242188,23.80485725402832,Fine,144.122
18.050172805786133,24.14640998840332,Fine,144.229
18.22447967529297,23.958707809448242,Fine,144.334
18.091697692871094,24.084823608398438,Fine,144.44
18.145998001098633,23.95598793029785,Fine,144.543
18.24747657775879,23.818958282470703,Fine,144.649
18.088647842407227,24.196104049682617,Fine,144.752
18.247907638549805,24.009782791137695,Fine,144.853
18.074813842773438,24.097949981689453,Fine,144.956
18.179359436035156,23.996562957763672,Fine,145.079
18.186386108398438,23.998899459838867,Fine,145.182
18.229354858398438,23.560422897338867,Fine,145.289
18.009675979614258,23.792272567749023,Search,145.403
18.04674530029297,22.91948699951172,Search,145.512
17.75701141357422,23.145923614501953,Search,145.641
17.6898250579834,22.82547378540039,Search,145.754
17.543075561523438,23.196561813354492,Search,145.878
17.36811637878418,22.822908401489258,Search,145.982
17.196983337402344,23.1085262298584,Search,146.087
17.02927589416504,23.367643356323242,Search,146.19
17.207534790039062,23.158159255981445,Search,146.293
17.078344345092773,23.532686233520508,Search,146.397
17.251501083374023,23.32213020324707,Search,146.498
17.17559051513672,23.704484939575195,Search,146.603
17.554885864257812,23.318086624145508,Search,146.705
17.498212814331055,23.768972396850586,Search,146.807
16.4531307220459,22.14641571044922,Search,153.901
16.27623748779297,22.42740821838379,Search,153.988
16.468582153320312,21.877660751342773,Search,154.089
16.752145767211914,22.622053146362305,Search,154.245
16.972028732299805,22.04556655883789,Search,154.349
17.271303176879883,23.132911682128906,Search,154.452
17.634735107421875,22.489660263061523,Search,154.559
17.989517211914062,21.86046600341797,Search,154.664
18.071426391601562,23.04836654663086,Search,154.77
16.740833282470703,23.416471481323242,Fine,159.592
16.548486709594727,23.30649185180664,Fine,159.673
16.332073211669922,23.312898635864258,Fine,159.751
16.18753433227539,23.223556518554688,Fine,159.84
16.13013458251953,23.291269302368164,Fine,159.942
16.016376495361328,23.208864212036133,Fine,160.045
15.97386360168457,23.18788719177246,Fine,160.15
16.030683517456055,23.173755645751953,Fine,160.258
15.982267379760742,23.187654495239258,Fine,160.36
16.18148422241211,23.245285034179688,Fine,160.467
16.201278686523438,23.26881217956543,Fine,160.573
16.250852584838867,23.280235290527344,Fine,160.683
16.694686889648438,23.28759002685547,Fine,160.788
16.77579116821289,23.409765243530273,Fine,160.888
17.111555099487305,23.562755584716797,Fine,160.988
17.22633934020996,23.62598991394043,Fine,161.092
17.655941009521484,23.1367244720459,Fine,161.195
17.69986915588379,23.264041900634766,Fine,161.301
17.632047653198242,23.54916763305664,Fine,161.41
18.360950469970703,23.62217140197754,Fine,162.351
18.399150848388672,22.914602279663086,Fine,162.471
18.271162033081055,23.311403274536133,Fine,162.57
18.128211975097656,23.751970291137695,Fine,162.665
18.320999145507812,23.137645721435547,Fine,162.756
18.11650848388672,23.597578048706055,Fine,162.871
18.270620346069336,23.1680850982666,Fine,162.986
18.156396865844727,23.608989715576172,Fine,163.096
18.355588912963867,23.03989601135254,Fine,163.212
18.142301559448242,23.52779769897461,Fine,163.308
17.96170425415039,23.94302749633789,Fine,163.442
18.22934341430664,23.608427047729492,Fine,163.556
18.064905166625977,24.209815979003906,Fine,163.647
18.27410125732422,23.487449645996094,Fine,163.759
18.04895782470703,23.83918571472168,Fine,163.848
17.864980697631836,24.278547286987305,Fine,163.93
18.285736083984375,23.60849952697754,Fine,164.042
17.91945457458496,23.83928871154785,Fine,166.144
18.203853607177734,23.349565505981445,Fine,166.237
17.983470916748047,23.885047912597656,Fine,166.361
18.327354431152344,23.441875457763672,Fine,166.471
18.064998626708984,23.92118263244629,Fine,166.582
17.811342239379883,24.414804458618164,Fine,166.69
18.28154754638672,23.926504135131836,Fine,166.811
17.995176315307617,24.383935928344727,Fine,166.916
18.56134605407715,23.65984535217285,Fine,167.016
18.185216903686523,24.100915908813477,Fine,167.12
18.470760345458984,23.49186897277832,Fine,167.222
18.267702102661133,23.740264892578125,Fine,167.324
18.01553726196289,23.895320892333984,Fine,167.434
18.00004005432129,23.535356521606445,Fine,167.543
17.871273040771484,23.596607208251953,Fine,167.648
17.94406509399414,23.519874572753906,Fine,167.753
